"","Draudėjo.kodas..code.","Juridinių.asmenų.registro.kodas..jarCode.","Pavadinimas..name.","Savivaldybė..kurioje.registruota.municipality.","Ekonominės.veiklos.rūšies.kodas.ecoActCode.","Ekonominės.veiklos.rūšies.pavadinimas.ecoActName.","Mėnuo..month.","Vidutinis.darbo.užmokestis..avgWage.","Apdraustųjų.skaičius..numInsured.","Vidutinis.darbo.užmokestis.II..avgWage2.","Apdraustųjų.skaičius.II..numInsured2.","Valstybinio.socialinio.draudimo.įmoka..tax."
"1",62238,110193723,"IKI LIETUVA, UAB","Vilniaus m. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202301,"1279.62",5519,"",1,"1672968.50"
"2",62238,110193723,"IKI LIETUVA, UAB","Vilniaus m. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202302,"1284.44",5358,"",1,"1629469.21"
"3",62238,110193723,"IKI LIETUVA, UAB","Vilniaus m. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202303,"1322.15",5369,"",1,"1679822.42"
"4",62238,110193723,"IKI LIETUVA, UAB","Vilniaus m. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202304,"1340.61",5282,"",1,"1670418.94"
"5",62238,110193723,"IKI LIETUVA, UAB","Vilniaus m. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202305,"1546.57",5278,"",1,"1912691.59"
"6",62238,110193723,"IKI LIETUVA, UAB","Vilniaus m. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202306,"1397.25",5283,"",1,"1728775.57"
"7",62238,110193723,"IKI LIETUVA, UAB","Vilniaus m. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202307,"1397.99",5455,"",1,"1790430.43"
"8",62238,110193723,"IKI LIETUVA, UAB","Vilniaus m. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202308,"1419.81",5330,"",1,"1771460.38"
"9",62238,110193723,"IKI LIETUVA, UAB","Vilniaus m. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202309,"1409.42",5260,"",1,"1734001.80"
"10",62238,110193723,"IKI LIETUVA, UAB","Vilniaus m. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202310,"1395.79",5248,"",1,"1710359.38"
"11",62238,110193723,"IKI LIETUVA, UAB","Vilniaus m. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202311,"1425.49",5240,"",1,"1740038.34"
"12",62238,110193723,"IKI LIETUVA, UAB","Vilniaus m. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202312,"1486.57",5218,"",1,"1803245.08"
"13",276102,110630219,"UŽDAROJI AKCINĖ BENDROVĖ ""BALTIJOS GĖRIMAI""","Joniškio r. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202301,"902.81",126,"",0,"26515.57"
"14",276102,110630219,"UŽDAROJI AKCINĖ BENDROVĖ ""BALTIJOS GĖRIMAI""","Joniškio r. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202302,"899.89",124,"",0,"26012.50"
"15",276102,110630219,"UŽDAROJI AKCINĖ BENDROVĖ ""BALTIJOS GĖRIMAI""","Joniškio r. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202303,"890.94",128,"",0,"26548.38"
"16",276102,110630219,"UŽDAROJI AKCINĖ BENDROVĖ ""BALTIJOS GĖRIMAI""","Joniškio r. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202304,"907.47",124,"",0,"26222.00"
"17",276102,110630219,"UŽDAROJI AKCINĖ BENDROVĖ ""BALTIJOS GĖRIMAI""","Joniškio r. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202305,"888.63",137,"",0,"28514.33"
"18",276102,110630219,"UŽDAROJI AKCINĖ BENDROVĖ ""BALTIJOS GĖRIMAI""","Joniškio r. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202306,"902.44",136,"",0,"28723.74"
"19",276102,110630219,"UŽDAROJI AKCINĖ BENDROVĖ ""BALTIJOS GĖRIMAI""","Joniškio r. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202307,"930.52",135,"",0,"29455.75"
"20",276102,110630219,"UŽDAROJI AKCINĖ BENDROVĖ ""BALTIJOS GĖRIMAI""","Joniškio r. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202308,"922.66",134,"",0,"29016.59"
"21",276102,110630219,"UŽDAROJI AKCINĖ BENDROVĖ ""BALTIJOS GĖRIMAI""","Joniškio r. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202309,"882.22",131,"",0,"27113.28"
"22",276102,110630219,"UŽDAROJI AKCINĖ BENDROVĖ ""BALTIJOS GĖRIMAI""","Joniškio r. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202310,"872.26",130,"",0,"26640.72"
"23",276102,110630219,"UŽDAROJI AKCINĖ BENDROVĖ ""BALTIJOS GĖRIMAI""","Joniškio r. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202311,"907.69",133,"",0,"28305.49"
"24",276102,110630219,"UŽDAROJI AKCINĖ BENDROVĖ ""BALTIJOS GĖRIMAI""","Joniškio r. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202312,"892.54",128,"",0,"26714.63"
"25",338888,110659231,"UŽDAROJI AKCINĖ BENDROVĖ SKIBALĖ","Klaipėdos m. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202301,"1181.92",9,"",0,"2475.37"
"26",338888,110659231,"UŽDAROJI AKCINĖ BENDROVĖ SKIBALĖ","Klaipėdos m. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202302,"1187.50",9,"",0,"2485.36"
"27",338888,110659231,"UŽDAROJI AKCINĖ BENDROVĖ SKIBALĖ","Klaipėdos m. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202303,"1185.14",9,"",0,"2481.98"
"28",338888,110659231,"UŽDAROJI AKCINĖ BENDROVĖ SKIBALĖ","Klaipėdos m. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202304,"978.13",12,"",0,"2719.89"
"29",338888,110659231,"UŽDAROJI AKCINĖ BENDROVĖ SKIBALĖ","Klaipėdos m. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202305,"947.36",12,"",0,"2644.54"
"30",338888,110659231,"UŽDAROJI AKCINĖ BENDROVĖ SKIBALĖ","Klaipėdos m. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202306,"1332.95",11,"",0,"3348.70"
"31",338888,110659231,"UŽDAROJI AKCINĖ BENDROVĖ SKIBALĖ","Klaipėdos m. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202307,"1128.70",10,"",0,"2635.82"
"32",338888,110659231,"UŽDAROJI AKCINĖ BENDROVĖ SKIBALĖ","Klaipėdos m. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202308,"1078.78",11,"",0,"2765.71"
"33",338888,110659231,"UŽDAROJI AKCINĖ BENDROVĖ SKIBALĖ","Klaipėdos m. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202309,"922.85",10,"",0,"2137.91"
"34",338888,110659231,"UŽDAROJI AKCINĖ BENDROVĖ SKIBALĖ","Klaipėdos m. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202310,"902.54",9,"",0,"1895.57"
"35",338888,110659231,"UŽDAROJI AKCINĖ BENDROVĖ SKIBALĖ","Klaipėdos m. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202311,"940.23",10,"",0,"2206.06"
"36",338888,110659231,"UŽDAROJI AKCINĖ BENDROVĖ SKIBALĖ","Klaipėdos m. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202312,"1171.55",10,"",0,"2756.98"
"37",62459,110778328,"UŽDAROJI AKCINĖ BENDROVĖ NORFOS MAŽMENA","Vilniaus m. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202301,"1453.84",3152,"",0,"1073896.11"
"38",62459,110778328,"UŽDAROJI AKCINĖ BENDROVĖ NORFOS MAŽMENA","Vilniaus m. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202302,"1458.83",3082,"",0,"1053350.75"
"39",62459,110778328,"UŽDAROJI AKCINĖ BENDROVĖ NORFOS MAŽMENA","Vilniaus m. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202303,"1645.55",3101,"",0,"1194634.46"
"40",62459,110778328,"UŽDAROJI AKCINĖ BENDROVĖ NORFOS MAŽMENA","Vilniaus m. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202304,"1560.35",3128,"",0,"1141189.17"
"41",62459,110778328,"UŽDAROJI AKCINĖ BENDROVĖ NORFOS MAŽMENA","Vilniaus m. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202305,"1635.72",3201,"",0,"1223653.20"
"42",62459,110778328,"UŽDAROJI AKCINĖ BENDROVĖ NORFOS MAŽMENA","Vilniaus m. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202306,"1688.20",3256,"",0,"1283119.96"
"43",62459,110778328,"UŽDAROJI AKCINĖ BENDROVĖ NORFOS MAŽMENA","Vilniaus m. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202307,"1701.65",3273,"",0,"1298247.73"
"44",62459,110778328,"UŽDAROJI AKCINĖ BENDROVĖ NORFOS MAŽMENA","Vilniaus m. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202308,"1720.34",3283,"",0,"1314469.17"
"45",62459,110778328,"UŽDAROJI AKCINĖ BENDROVĖ NORFOS MAŽMENA","Vilniaus m. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202309,"1632.94",3236,"",0,"1231170.26"
"46",62459,110778328,"UŽDAROJI AKCINĖ BENDROVĖ NORFOS MAŽMENA","Vilniaus m. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202310,"1659.60",3265,"",0,"1260852.23"
"47",62459,110778328,"UŽDAROJI AKCINĖ BENDROVĖ NORFOS MAŽMENA","Vilniaus m. sav.",471100,"Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas",202311,"1618.35",3245,"",0,"1221042.22"
